word,count
john,  1186 
key,  1603 
shown,  181 
lack,  371 
media,  351 
kiwi,  1009 
iraq,  130 
labour,  16097 
foreign,  815 
affairs,  631 
spokesperson,  6770 
david,  1780 
shearer,  221 
says,  11571 
time,  2992 
prime,  1260 
minister,  4742 
telling,  127 
details,  317 
security,  534 
risk,  813 
world,  1428 
stage,  172 
new,  16757 
zealanders,  3122 
international,  864 
month,  383 
defence,  328 
gerry,  173 
brownlee,  191 
forced,  378 
number,  1355 
gone,  223 
australia,  441 
training,  986 
ahead,  442 
reported,  148 
country,  1993 
government,  11513 
answer,  249 
questions,  646 
highlights,  197 
transparency,  141 
local,  1543 
stop,  617 
zealand,  8807 
public,  2479 
decisions,  329 
making,  1324 
dream,  289 
homeownership,  143 
away,  507 
quarter,  246 
home,  1729 
compared,  184 
half,  544 
houses,  1582 
built,  485 
helping,  388 
drive,  260 
prices,  1026 
reach,  283 
middle,  267 
buyers,  543 
auckland,  2676 
despite,  623 
needed,  710 
population,  464 
growth,  1298 
past,  798 
year,  4348 
consents,  118 
falling,  257 
increase,  990 
lowest,  271 
means,  851 
fewer,  287 
affordable,  928 
partner,  185 
private,  703 
sector,  1373 
build,  1161 
homes,  1652 
kiwibuild,  280 
deliver,  649 
years,  3756 
stand,  332 
outside,  258 
likely,  297 
range,  282 
high,  1096 
quality,  713 
modern,  274 
standards,  504 
scale,  184 
enable,  181 
low,  827 
cost,  1135 
currently,  451 
sold,  189 
price,  564 
avoid,  174 
gains,  171 
sale,  203 
require,  230 
hand,  244 
capital,  390 
gain,  153 
construction,  342 
billion,  980 
returned,  100 
crown,  438 
end,  681 
programme,  966 
housing,  5558 
authority,  203 
primary,  716 
building,  1254 
development,  1930 
projects,  682 
meka,  416 
whaitiri,  397 
ikaroa,  191 
general,  589 
election,  1091 
parliament,  1263 
june,  231 
following,  503 
death,  212 
māori,  2302 
electorate,  231 
life,  812 
policies,  567 
voters,  174 
campaign,  664 
different,  301 
close,  324 
family,  985 
went,  240 
hours,  313 
experience,  384 
big,  605 
running,  267 
east,  207 
coast,  298 
hour,  292 
driving,  174 
makes,  336 
fairly,  129 
address,  503 
having,  803 
spread,  106 
biggest,  319 
group,  585 
bay,  316 
hutt,  136 
gisborne,  122 
lot,  331 
volunteers,  124 
planning,  325 
young,  1169 
people,  5845 
real,  847 
team,  374 
isn,  362 
ask,  219 
help,  1801 
areas,  580 
involved,  278 
bring,  382 
click,  186 
jacinda,  1073 
ardern,  941 
wellington,  620 
leader,  1764 
party,  2054 
born,  181 
city,  797 
hamilton,  134 
grew,  115 
school,  1560 
university,  355 
waikato,  244 
politics,  333 
relations,  313 
read,  475 
post,  351 
worked,  372 
office,  724 
helen,  110 
clark,  712 
cabinet,  328 
department,  275 
business,  1609 
review,  706 
policing,  104 
joined,  170 
age,  238 
strong,  769 
advocate,  109 
children,  1671 
women,  600 
right,  1399 
zealander,  183 
