word,count
john,  0.124 
key,  0.168 
shown,  0.019 
lack,  0.039 
media,  0.037 
kiwi,  0.106 
iraq,  0.014 
labour,  1.69 
foreign,  0.086 
affairs,  0.066 
spokesperson,  0.711 
david,  0.187 
shearer,  0.023 
says,  1.215 
time,  0.314 
prime,  0.132 
minister,  0.498 
telling,  0.013 
details,  0.033 
security,  0.056 
risk,  0.085 
world,  0.15 
stage,  0.018 
new,  1.759 
zealanders,  0.328 
international,  0.091 
month,  0.04 
defence,  0.034 
gerry,  0.018 
brownlee,  0.02 
forced,  0.04 
number,  0.142 
gone,  0.023 
australia,  0.046 
training,  0.103 
ahead,  0.046 
reported,  0.016 
country,  0.209 
government,  1.208 
answer,  0.026 
questions,  0.068 
highlights,  0.021 
transparency,  0.015 
local,  0.162 
stop,  0.065 
zealand,  0.924 
public,  0.26 
decisions,  0.035 
making,  0.139 
dream,  0.03 
homeownership,  0.015 
away,  0.053 
quarter,  0.026 
home,  0.181 
compared,  0.019 
half,  0.057 
houses,  0.166 
built,  0.051 
helping,  0.041 
drive,  0.027 
prices,  0.108 
reach,  0.03 
middle,  0.028 
buyers,  0.057 
auckland,  0.281 
despite,  0.065 
needed,  0.075 
population,  0.049 
growth,  0.136 
past,  0.084 
year,  0.456 
consents,  0.012 
falling,  0.027 
increase,  0.104 
lowest,  0.028 
means,  0.089 
fewer,  0.03 
affordable,  0.097 
partner,  0.019 
private,  0.074 
sector,  0.144 
build,  0.122 
homes,  0.173 
kiwibuild,  0.029 
deliver,  0.068 
years,  0.394 
stand,  0.035 
outside,  0.027 
likely,  0.031 
range,  0.03 
high,  0.115 
quality,  0.075 
modern,  0.029 
standards,  0.053 
scale,  0.019 
enable,  0.019 
low,  0.087 
cost,  0.119 
currently,  0.047 
sold,  0.02 
price,  0.059 
avoid,  0.018 
gains,  0.018 
sale,  0.021 
require,  0.024 
hand,  0.026 
capital,  0.041 
gain,  0.016 
construction,  0.036 
billion,  0.103 
returned,  0.01 
crown,  0.046 
end,  0.071 
programme,  0.101 
housing,  0.583 
authority,  0.021 
primary,  0.075 
building,  0.132 
development,  0.203 
projects,  0.072 
meka,  0.044 
whaitiri,  0.042 
ikaroa,  0.02 
general,  0.062 
election,  0.115 
parliament,  0.133 
june,  0.024 
following,  0.053 
death,  0.022 
māori,  0.242 
electorate,  0.024 
life,  0.085 
policies,  0.06 
voters,  0.018 
campaign,  0.07 
different,  0.032 
close,  0.034 
family,  0.103 
went,  0.025 
hours,  0.033 
experience,  0.04 
big,  0.064 
running,  0.028 
east,  0.022 
coast,  0.031 
hour,  0.031 
driving,  0.018 
makes,  0.035 
fairly,  0.014 
address,  0.053 
having,  0.084 
spread,  0.011 
biggest,  0.033 
group,  0.061 
bay,  0.033 
hutt,  0.014 
gisborne,  0.013 
lot,  0.035 
volunteers,  0.013 
planning,  0.034 
young,  0.123 
people,  0.614 
real,  0.089 
team,  0.039 
isn,  0.038 
ask,  0.023 
help,  0.189 
areas,  0.061 
