word,count
health,  8120 
minister,  12023 
jonathan,  630 
coleman,  569 
says,  16969 
national,  22539 
service,  2047 
helped,  402 
new,  38051 
zealanders,  6158 
launch,  392 
year,  9858 
ago,  906 
today,  6504 
visited,  287 
auckland,  4572 
offers,  230 
advice,  1008 
support,  7498 
phone,  307 
text,  186 
online,  723 
services,  4777 
platform,  193 
delivered,  758 
provider,  180 
means,  1672 
kiwis,  1859 
makes,  695 
contact,  747 
matter,  524 
use,  2340 
receive,  1046 
appropriate,  426 
help,  4826 
need,  5924 
november,  616 
brought,  323 
seven,  491 
alcohol,  305 
drug,  732 
initiative,  695 
immunisation,  110 
public,  4393 
registered,  287 
nurses,  331 
mental,  1355 
addiction,  147 
provide,  3080 
assessment,  297 
symptoms,  100 
treatment,  509 
launched,  635 
minute,  108 
cent,  4461 
calls,  262 
overall,  415 
number,  3205 
increased,  1494 
september,  579 
like,  4204 
thank,  1045 
team,  1320 
staff,  1572 
based,  1512 
centres,  320 
homes,  1150 
country,  3863 
hard,  2121 
work,  7833 
commitment,  1190 
successfully,  226 
working,  3810 
sector,  3737 
partnerships,  235 
dhbs,  479 
primary,  2301 
care,  1960 
data,  1607 
shows,  1581 
receiving,  441 
assistance,  529 
compared,  405 
run,  646 
medical,  424 
partnership,  963 
ministry,  2001 
acc,  481 
agency,  709 
added,  338 
coming,  1015 
months,  1973 
including,  3060 
million,  6426 
boost,  572 
budget,  2636 
increase,  2654 
people,  10408 
earlier,  752 
stage,  539 
applications,  366 
funding,  4328 
industries,  1116 
earthquake,  923 
relief,  379 
fund,  2597 
extended,  354 
extra,  1282 
month,  1265 
nathan,  387 
guy,  746 
announced,  3010 
locals,  348 
told,  521 
time,  6055 
information,  3855 
extension,  327 
march,  685 
sure,  989 
eligible,  242 
opportunity,  2199 
apply,  462 
grant,  953 
infrastructure,  2795 
repairs,  107 
hurunui,  143 
kaikoura,  496 
marlborough,  286 
affecting,  121 
farmers,  1632 
normal,  250 
growers,  222 
busy,  446 
farm,  372 
summer,  382 
damage,  358 
family,  2325 
buildings,  562 
combined,  305 
eqc,  139 
home,  2156 
insurance,  198 
claims,  486 
feeling,  187 
pressure,  483 
needed,  1172 
repair,  135 
access,  2679 
local,  4891 
recovery,  993 
rural,  1444 
trusts,  142 
held,  841 
received,  940 
small,  2034 
guide,  160 
grants,  511 
contribution,  691 
covering,  148 
maximum,  172 
costs,  1848 
hand,  456 
result,  1172 
farming,  433 
needs,  3962 
skilled,  356 
workers,  1249 
volunteers,  427 
allocated,  296 
programme,  2991 
form,  496 
pay,  1567 
associated,  227 
establishing,  182 
land,  1645 
forestry,  479 
initial,  235 
clean,  343 
include,  1149 
roads,  894 
bridges,  1884 
sides,  103 
generally,  126 
priority,  835 
given,  1220 
essential,  689 
continue,  2342 
roadside,  116 
stock,  273 
water,  1737 
supplies,  113 
cost,  2107 
total,  985 
considered,  384 
awarded,  243 
requests,  141 
available,  1870 
exceeds,  101 
limited,  439 
cover,  387 
provided,  933 
applicants,  143 
claimed,  219 
options,  578 
talk,  568 
trust,  1162 
currently,  1350 
sets,  225 
structure,  127 
membership,  195 
governance,  373 
candidate,  564 
progress,  1376 
policy,  3514 
party,  4794 
read,  602 
copy,  165 
latest,  948 
rules,  976 
view,  623 
official,  446 
documents,  276 
revealed,  234 
day,  2370 
bay,  1174 
plenty,  604 
dhb,  531 
despite,  1015 
concerns,  869 
general,  1172 
spokesperson,  7345 
shane,  857 
reti,  645 
deals,  115 
cyber,  278 
attack,  219 
individual,  402 
david,  1196 
clark,  620 
approach,  1534 
security,  1221 
zealand,  19003 
real,  1362 
concern,  448 
attacks,  188 
daily,  210 
light,  638 
recent,  1200 
fully,  490 
protect,  863 
important,  3665 
hold,  523 
example,  1156 
times,  1212 
week,  2498 
measures,  690 
block,  297 
days,  1050 
issues,  2501 
saying,  469 
won,  1026 
deal,  666 
clearly,  543 
rate,  875 
lack,  638 
leadership,  1008 
undertake,  138 
urgent,  230 
improve,  1917 
monitoring,  312 
placed,  222 
established,  531 
government,  23942 
response,  1541 
centre,  1081 
members,  1671 
business,  4206 
matters,  495 
seriously,  230 
act,  2061 
ensure,  3506 
systems,  543 
safe,  1293 
police,  2283 
chris,  931 
bishop,  631 
asking,  346 
senior,  460 
jones,  479 
believes,  408 
haumaha,  123 
completely,  287 
parliament,  3157 
yesterday,  440 
report,  1677 
authority,  317 
leader,  2810 
winston,  320 
peters,  457 
accept,  153 
findings,  110 
think,  980 
agree,  358 
prime,  2298 
ties,  100 
repeatedly,  116 
rotorua,  456 
disclosed,  236 
cabinet,  618 
came,  575 
marae,  158 
middle,  381 
election,  2053 
campaign,  981 
celebrate,  283 
commissioner,  339 
statement,  373 
invited,  167 
material,  176 
released,  1303 
likely,  709 
record,  983 
continues,  916 
positions,  153 
power,  718 
transport,  3547 
simon,  1556 
welcomed,  626 
announcement,  1100 
approved,  326 
construction,  1172 
queenstown,  351 
eastern,  193 
road,  2199 
critical,  693 
link,  611 
network,  859 
congestion,  416 
area,  1601 
airport,  417 
connecting,  255 
park,  540 
fantastic,  481 
news,  966 
visitor,  268 
numbers,  1002 
continuing,  543 
grow,  1340 
developments,  379 
strong,  2541 
economy,  4515 
putting,  614 
increasing,  1239 
responding,  195 
growth,  3772 
investing,  820 
significant,  2332 
district,  1092 
lane,  532 
bridge,  340 
built,  794 
falls,  125 
open,  1544 
second,  1333 
half,  812 
western,  238 
mid,  294 
capacity,  565 
highly,  382 
future,  3058 
plans,  930 
improvements,  664 
pleased,  698 
alongside,  606 
lakes,  184 
council,  2528 
development,  3725 
city,  1483 
confirms,  103 
able,  1867 
begin,  419 
project,  2385 
turning,  167 
mark,  544 
start,  1455 
expected,  1043 
occur,  141 
early,  1668 
trade,  2218 
todd,  1304 
mcclay,  880 
exporters,  321 
succeed,  343 
overseas,  666 
markets,  563 
agenda,  357 
mpi,  382 
years,  7038 
billion,  3204 
supporting,  1240 
thousands,  976 
jobs,  3077 
countries,  1362 
creating,  716 
improved,  600 
links,  314 
barriers,  319 
billions,  269 
entering,  206 
complex,  469 
brings,  360 
focus,  1917 
helping,  965 
address,  1247 
making,  2223 
competitive,  307 
international,  2406 
regulatory,  405 
requirements,  623 
resource,  527 
efforts,  610 
presence,  148 
europe,  126 
south,  1191 
east,  794 
asia,  406 
establish,  336 
export,  551 
environments,  217 
guidance,  236 
case,  851 
studies,  161 
non,  622 
tariff,  116 
major,  1386 
issue,  1134 
gathering,  109 
easier,  541 
seek,  308 
expand,  298 
economic,  4812 
intelligence,  159 
unit,  480 
market,  1188 
agencies,  840 
identify,  331 
opportunities,  1992 
develop,  880 
strategies,  100 
looks,  259 
good,  2787 
exports,  510 
diverse,  269 
getting,  1459 
best,  2174 
high,  2815 
quality,  1921 
place,  1867 
closely,  378 
internationally,  229 
resolve,  187 
hundreds,  684 
millions,  343 
dollars,  762 
improving,  886 
resources,  926 
fight,  368 
excellent,  295 
way,  2512 
value,  1066 
existing,  820 
plan,  3402 
job,  1412 
creation,  219 
living,  1240 
known,  399 
judith,  1586 
collins,  1828 
lower,  706 
hutt,  483 
announcing,  226 
jobstart,  104 
west,  846 
late,  492 
faces,  111 
worst,  250 
christmas,  372 
unemployed,  129 
unemployment,  502 
benefits,  1284 
kept,  258 
wage,  754 
subsidy,  418 
scheme,  1290 
lost,  614 
lose,  228 
ahead,  1052 
set,  1727 
buy,  295 
capital,  965 
taxes,  1599 
stages,  116 
successful,  867 
come,  1772 
kiwisaver,  380 
savings,  229 
tax,  4122 
taxpayers,  521 
funds,  339 
proper,  144 
financial,  1389 
ideas,  785 
signed,  450 
recipients,  199 
addition,  429 
owners,  739 
write,  152 
investment,  3562 
asset,  209 
previously,  486 
said,  2306 
businesses,  4316 
going,  1742 
banks,  145 
banking,  103 
finance,  2094 
additional,  1484 
vision,  435 
feel,  519 
confident,  426 
gives,  430 
cash,  433 
payments,  237 
permanent,  250 
create,  1182 
longer,  731 
planned,  375 
creates,  190 
