word,count
health,  0.408 
minister,  0.604 
jonathan,  0.032 
coleman,  0.029 
says,  0.852 
national,  1.132 
service,  0.103 
helped,  0.02 
new,  1.911 
zealanders,  0.309 
launch,  0.02 
year,  0.495 
ago,  0.045 
today,  0.327 
visited,  0.014 
auckland,  0.23 
offers,  0.012 
advice,  0.051 
support,  0.377 
phone,  0.015 
text,  0.009 
online,  0.036 
services,  0.24 
platform,  0.01 
delivered,  0.038 
provider,  0.009 
means,  0.084 
kiwis,  0.093 
makes,  0.035 
contact,  0.038 
matter,  0.026 
use,  0.118 
receive,  0.053 
appropriate,  0.021 
help,  0.242 
need,  0.297 
november,  0.031 
brought,  0.016 
seven,  0.025 
alcohol,  0.015 
drug,  0.037 
initiative,  0.035 
immunisation,  0.006 
public,  0.221 
registered,  0.014 
nurses,  0.017 
mental,  0.068 
addiction,  0.007 
provide,  0.155 
assessment,  0.015 
symptoms,  0.005 
treatment,  0.026 
launched,  0.032 
minute,  0.005 
cent,  0.224 
calls,  0.013 
overall,  0.021 
number,  0.161 
increased,  0.075 
september,  0.029 
like,  0.211 
thank,  0.052 
team,  0.066 
staff,  0.079 
based,  0.076 
centres,  0.016 
homes,  0.058 
country,  0.194 
hard,  0.107 
work,  0.393 
commitment,  0.06 
successfully,  0.011 
working,  0.191 
sector,  0.188 
partnerships,  0.012 
dhbs,  0.024 
primary,  0.116 
care,  0.098 
data,  0.081 
shows,  0.079 
receiving,  0.022 
assistance,  0.027 
compared,  0.02 
run,  0.032 
medical,  0.021 
partnership,  0.048 
ministry,  0.1 
acc,  0.024 
agency,  0.036 
added,  0.017 
coming,  0.051 
months,  0.099 
including,  0.154 
million,  0.323 
boost,  0.029 
budget,  0.132 
increase,  0.133 
people,  0.523 
earlier,  0.038 
stage,  0.027 
applications,  0.018 
funding,  0.217 
industries,  0.056 
earthquake,  0.046 
relief,  0.019 
fund,  0.13 
extended,  0.018 
extra,  0.064 
month,  0.064 
nathan,  0.019 
guy,  0.037 
announced,  0.151 
locals,  0.017 
told,  0.026 
time,  0.304 
information,  0.194 
extension,  0.016 
march,  0.034 
sure,  0.05 
eligible,  0.012 
opportunity,  0.11 
apply,  0.023 
grant,  0.048 
infrastructure,  0.14 
repairs,  0.005 
hurunui,  0.007 
kaikoura,  0.025 
marlborough,  0.014 
affecting,  0.006 
farmers,  0.082 
normal,  0.013 
growers,  0.011 
busy,  0.022 
farm,  0.019 
summer,  0.019 
damage,  0.018 
family,  0.117 
buildings,  0.028 
combined,  0.015 
eqc,  0.007 
home,  0.108 
insurance,  0.01 
claims,  0.024 
feeling,  0.009 
pressure,  0.024 
needed,  0.059 
repair,  0.007 
access,  0.135 
local,  0.246 
recovery,  0.05 
rural,  0.073 
trusts,  0.007 
held,  0.042 
received,  0.047 
small,  0.102 
guide,  0.008 
grants,  0.026 
contribution,  0.035 
covering,  0.007 
maximum,  0.009 
costs,  0.093 
hand,  0.023 
result,  0.059 
farming,  0.022 
needs,  0.199 
skilled,  0.018 
workers,  0.063 
volunteers,  0.021 
allocated,  0.015 
programme,  0.15 
form,  0.025 
pay,  0.079 
associated,  0.011 
establishing,  0.009 
land,  0.083 
forestry,  0.024 
initial,  0.012 
clean,  0.017 
include,  0.058 
roads,  0.045 
bridges,  0.095 
sides,  0.005 
generally,  0.006 
priority,  0.042 
given,  0.061 
essential,  0.035 
continue,  0.118 
roadside,  0.006 
stock,  0.014 
water,  0.087 
supplies,  0.006 
cost,  0.106 
total,  0.049 
considered,  0.019 
awarded,  0.012 
requests,  0.007 
available,  0.094 
exceeds,  0.005 
limited,  0.022 
cover,  0.019 
provided,  0.047 
applicants,  0.007 
claimed,  0.011 
options,  0.029 
talk,  0.029 
trust,  0.058 
currently,  0.068 
sets,  0.011 
structure,  0.006 
membership,  0.01 
governance,  0.019 
candidate,  0.028 
progress,  0.069 
policy,  0.176 
party,  0.241 
read,  0.03 
copy,  0.008 
latest,  0.048 
rules,  0.049 
view,  0.031 
official,  0.022 
documents,  0.014 
revealed,  0.012 
day,  0.119 
bay,  0.059 
plenty,  0.03 
dhb,  0.027 
despite,  0.051 
concerns,  0.044 
general,  0.059 
spokesperson,  0.369 
shane,  0.043 
reti,  0.032 
deals,  0.006 
cyber,  0.014 
attack,  0.011 
individual,  0.02 
david,  0.06 
clark,  0.031 
approach,  0.077 
security,  0.061 
zealand,  0.954 
real,  0.068 
concern,  0.022 
attacks,  0.009 
daily,  0.011 
light,  0.032 
recent,  0.06 
fully,  0.025 
protect,  0.043 
important,  0.184 
hold,  0.026 
example,  0.058 
times,  0.061 
week,  0.125 
measures,  0.035 
block,  0.015 
days,  0.053 
issues,  0.126 
saying,  0.024 
won,  0.052 
deal,  0.033 
clearly,  0.027 
rate,  0.044 
lack,  0.032 
leadership,  0.051 
undertake,  0.007 
urgent,  0.012 
improve,  0.096 
